"Address";"Adresse"
"Area";"Surface"
"Calculation";"Calcul"
"cancel";"Annuler"
"change";"changer"
"City";"Ville"
"Contacts";"Contacts"
"Coordinates calculation";"Calculer les coordonnées"
"Credit amount";"Montant crédits"
"Credit date";"Date du crédit"
"Credit used";"Crédit utilisé"
"Customers";"Clients"
"Customer union";"Union"
"date creation";"date création"
"delete";"Supprimer"
"Delete";"Supprimer"
"edit";"Editer"
"file";"fichier"
"Filter";"Afficher"
"Financial information";"Information financière"
"firstname";"prénom"
"Firstname";"prénom"
"ftp import file";"fichier importation ftp"
"Go to localisation";"Aller à l'adresse "
"House information";"Informations sur l'habitation"
"import";"importer"
"Import file";"Importer un fichier"
"Init";"Vider les filtres"
"language";"langue"
"Last name";"nom"
"lastname";"nom"
"Main contact";"Contact principal"
"Mobile";"Portable"
"name";"nom"
"new";"nouveau"
"new union";"nouvelle union"
"New union";"nouvelle union"
"no result";"aucun résultat"
"No union";"Pas d'union"
"Number of windows";"Nombre de fenètre"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"Other contact";"Autre contact"
"Phone";"Téléphone"
"Post code";"Code postal"
"Removal";"Déménagement"
"results";"résultats"
"Salary";"Salaire"
"save";"Enregistrer"
"status";"état"
"title";"Titre"
"Union";"Union"
"value";"valeur"
"Work";"Travail"
"address";"adresse"
"Modify";"Modifier"
"Mobile 2";"Portable 2"
"Mobile 1";"Portable 1"
"no city exists";"la ville n'existe pas"
"Customer";"Client"
"Company";"Société"