"field-city";"ville"
"field-firstname";"prénom"
"field-lastname";"nom"
"field-address";"adresse"
"field-phone";"téléphone"
"field-postcode";"code postal"
"The field is missing.";"Le champ est manquant."
"line %s:";"ligne %s:"
"The field {field} is not affected";"Le champ {field} n'est pas affecté"
"The field {field} is affected {time} times";"Le champ {field} est affecté {time} fois"
"{value} is bad format";"{value} est au mauvais format"
"Line %s: Meeting is already exists.";"Ligne %s: Le Rendez Vous existe déjà."
"Meeting is already exists.";"Le Rendez Vous existe déjà."
"file is invalid.";"Le fichier est invalide."                                                                   
"Field name [%s] is invalid.";"Le champ [%s] est invalide."
"Field name [%s] is mandatory.";"Le champ [%s] est obligatoire."
"more one [%s] name exists in header.";"plus d'un [%s] champ existe dans l'entête."
"line %s:";"ligne %s:"
"Number of lines";"Nombre de lignes"
"Size";"Taille"
"File";"Fichier"
"Lines processed";"Lignes traitées"
"Import file";"Importer le fichier"
"Campaign";"Campagne"
"Header";"Entête"
"File";"Fichier"
"Max size for file %s.";"Taille maximale pour le fichier %s."
"authorized formats: %s";"formats autorisés: %s"
"Import Meetings";"Importer les Rendez Vous"
"No campaign";"Aucune campagne"
"No callcenter";"Aucun callcenter"
"products";"produits"
"Products %s don't exist.";"Les produits %s n'existe pas."
"No format available";"Aucun format disponible"
"Import files history";"Historique fichiers importés"
"No file";"Aucun fichier"
"Name";"Nom"
"Init";"Vider les filtres"
"Filter";"Afficher"
"Imports formats";"Formats d'importation"
"New";"Nouveau"
"Cancel";"Annuler"
"New from file";"Nouveau à partir d'un fichier"
"New format";"Nouveau format"
"file";"Fichier"
"Read";"Lire"
"Settings";"Configurations"
"Format has been created.";"Le format a été créé"
"Save";"Enregistrer"
"View format";"Editer le format"
"Format name";"Nom du format"
"Format ""#0#"" will be deleted. Confirm ?";"Le format ""#0#"" va être supprimé. Confirmez vous ?"
"Meeting import settings";"Configurations des importations RDV"
"Products %s don't exist.";"Les produits %s n'existent pas."
"Assistant doesn't exist.";"L'assistant n'existe pas."
"Telepro doesn't exist.";"Le télépro n'existe pas."
"Sale2 doesn't exist.";"Le commercial2 n'existe pas."
"Sale1 doesn't exist.";"Le commercial1 n'existe pas."
"field-telepro";"le champs télépro"
"field-sale1";"Le champs commercial1"
"field-sale2";"Le champs commercial2"
"field-assistant";"Le champs assistant"
"Import formats";"Importer les formats"
"No format";"Aucun format"
"Form has some errors";"Le formulaire comporte des erreurs"
"field-date_rdv";"date rdv"
"field-time_rdv";"heure rdv"
"-- Not affected --";"-- Non affecté --"
"inserted";"insérer"
"saved";"enregister"
"Import meeting";"Créér format d'import excel"