"Partner layers";"Sous traitant RGE"
"New layer";"Nouveau poseur"
"Init";"Vider les filtres"
"Filter";"Afficher les filtres"
"No partner layer";"Aucun poseur"
"Name";"Nom"
"Post code";"Code postal"
"City";"Ville"
"Phone";"Téléphone"
"Active";"Actif"
"Cancel";"Annuler"
"Save";"Enregistrer"
"name";"nom"
"address1";"adresse 1"
"address2";"adresse 2"
"city";"ville"
"phone";"téléphone"
"country";"pays"
"GPS coordinates";"GPS coordonnées"
"New partner layer";"Nouveau poseur"
"Partner Layer [%s] has been saved.";"Le poseur [%s] a été enregistré."
"Partner layer [%s] has been saved.";"Le poseur [%s] a été enregistré."
"Add logo";"Ajouter un logo"
"View partner layer";"Editer le poseur"
"Upload";"Télécharger"
"Partner layer already exists.";"Le poseur existe déjà."
"Delete";"Supprimer"
"Edit";"Editer"
"title";"titre"
"lastname";"nom"
"firstname";"prénom"
"Company";"Société"
"New contact";"Nouveau contact"
"View contacts for partner: %s.";"Editer les contacts pour le poseur: %s."
"Contact ""#0#"" will be deleted. Confirm ?";"Le contact ""#0#"" va être supprimé. Confirmez vous ?"
"[1]one contact|(1,Inf]%s contacts";"[1]un contact|(1,Inf]%s contacts"
"New contact for partner layer: %s.";"Nouveau contact pour le poseur: %s."
"Lastname";"Nom"
"Firstname";"Prénom"
"Title";"Titre"
"Partner contact has been deleted.";"Le contact a été supprimé."
"View contact for partner: %s.";"Editer le contact pour le poseur: %s."
"Import";"Importer"
"Partner layer";"Poseur"
"Partner layer [%s] (%s) has been saved";"Le poseur [%s] (%s) a été enregistré"
"Address2";"Adresse 2"
"Address1";"Adresse 1"
"Country";"Pays"
"Default?";"Défaut?"
"Default";"Défaut"
"RGE Start At";"RGE date de début"
"RGE End At";"RGE date de fin"