"Products";"Produits"
"Products Administration";"Administration des produits"
"add rate";"Ajouter un taux"
"cancel";"annuler"
"currency by default";"devise par défaut"
"currency options";"options des devises"
"Delete";"Supprimer"
"delete";"supprimer"
"Edit";"Editer"
"Edit tax";"Editer la taxe"
"Filter";"Afficher"
"Form has errors.";"Le formulaire comporte des erreurs"
"Form has some errors.";"Le formulaire comporte des erreurs"
"Init";"Vider les filtres"
"maximum records has been reached.";"Le maximum d'éléments a été atteint."
"name";"nom"
"new";"nouveau"
"new product";"nouveau produit"
"New product";"Nouveau produit"
"new tax";"nouvelle taxe"
"New tax";"Nouvelle taxe"
"new taxes";"nouvelles taxes"
"No product";"Aucun produit"
"No tax";"Aucune taxe"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"price";"prix"
"Product";"Produit"
"Product already exists";"Le produit existe déjà."
"Product is invalid.";"Le produit est invalide"
"rate";"Taux"
"reference";"référence"
"Reference";"Référence"
"results";"Résultats"
"save";"Enregistrer"
"Settings has some errors.";"Les paramètres comportent des erreurs."
"Settings have been saved.";"Les paramètres ont été enregistés"
"Settings product";"Paramètres produit"
"Short description";"Description courte"
"state";"état"
"Taxe is invalid.";"La taxe est invalide."
"Taxes have been saved.";"Les taxes ont été enregistrées"
"thanks to select a site";"merci de sélectionner un site"
"title";"titre"
"Title";"Titre"
"[0]no result|[1]one result|(1,Inf]%s results";"[0]aucun résultat|[1]un résultat|(1,Inf]%s résultats"
"Download model";"Télécharger le modèle"
"Product [%s] has been updated.";"Le produit a été mis à jour."
"Product [%s] has been created.";"Le produit a été créé."
"active_YES";"Actif"
"active_NO";"Supprimé"
"Product ""#0#"" will be deleted. Confirm ?";"Le produit ""#0#"" va être supprimé. Confirmez vous ?"
"Product [%s] has been recycled.";"Le produit [%s] a été recyclé."
"Tax ""#0#"" will be deleted. Confirm ?";"La taxe ""#0#"" va être supprimée. Confirmez vous ?"
"Product already exists.";"Le produit existes déjà."
"Product [%s] has been deleted.";"Le produit [%s] a été supprimé."
"Files";"Fichiers"
"Product actions";"Actions des produits"
"Name";"Nom"
"New action";"Nouvelle action"
"No action";"Aucune action"
"Purchasing price";"Prix d'achat"
"Default products";"Produits par défaut"
"Items";"Articles"
"Default products for meeting";"Produits par défaut pour les RDVs"
"Default products for contract";"Produits par défaut pour les clients"
"Prime price";"Prix Prime"
"Is Monthly ?";"Mensuel ?"
"Is Billable ?";"Facturable ?"
"Is consomable ?";"Consommable ?"
"Is monthly ?";"Mensuel ?"
"Billable ?";"Facturable ?"
"Consomable ?";"Consommable ?"
"Price";"Prix"
"Unit";"Unité"
"Tax";"Taxe"
"Discount price";"Prix réduit modeste (ttc)"
"Standard price";"Prix classique (ttc)"