"Edit company";"Edition de la société"
"edit company";"Edition de la société"
"cancel";"annuler"
"name";"nom"
"address1";"adresse 1"
"address2";"adresse 2"
"city";"ville"
"country";"pays"
"header";"haut_de_page"
"footer";"bas_de_page"
"picture";"logo"
"phone";"téléphone"
"mobile";"portable"
"Company";"Société"
"add header";"Ajouter le haut de page"
"add footer";"Ajouter la bas de page"
"delete";"supprimer"
"change picture";"changer le logo"
"commercial name";"nom commercial"
"save";"enregistrer"
"Add picture";"Ajouter le logo"
"Company has been saved.";"La société a été enregistrée."
"stamp";"cachet"
"Stamp";"Cachet"
"Stamp  will be deleted. Confirm ?";"La cachet va être supprimé. Confirmez vous ?"
"Add stamp";"Ajouter un cachet"
"Change stamp";"Changer le cachet"
"Delete";"Supprimer"
"Name";"Nom"
"Address1";"Adresse1"
"Picture";"Image"
"Commercial name";"Nom commercial"
"Country";"Pays"
"Header";"Haut de page"
"Footer";"Bas de page"
"Change header";"Changer le haut de page"
"Change footer";"Changer le bas de page"
"Add header";"Ajouter le haut de page"
"Add footer";"Ajouter le bas de page"