"Refresh";"Actualiser"
"Servers";"Serveurs"
"Filter";"Afficher"
"Init";"Vider le filtre"
"Server";"Serveur"
"Database name";"Nom de la base de données"
"Database host";"Hôte de la base de données"
"Admin state";"Etat admin"
"Frontend state";"Etat frontend"
"Last connection";"Dernière connexion"
"List Sites";"Liste des sites"
"Host";"Hôte"
"New server";"Nouveau serveur"
"Cancel";"Annuler"
"Name";"Nom"
"Password";"Mot de passe"
"Login";"Identifiant"
"View server";"Editer le serveur"
"Save";"Enregistrer"
"No server";"Aucun serveur"
"Sites from servers have been updated.";"Les sites des serveurs ont été mis à jour"
"SERVER";"SERVEUR"   
"COMPANY";"SOCIETE"   
"DATABASE";"BASE DE DONNEES"             
"HOSTS";"HOTES"
"ADMIN THEME";"THEME ADMIN"                              
"LAST CONNEXION";"DERNIERE CONNEXION"
"NO DATE";"AUCUNE DATE"
"Last update";"Dernière mise à jour"
"Theme admin";"Thème Admin"
"Company";"Société"
"No site";"Aucun site"
"Servers have been updated.";"Les serveurs ont été mis à jour."
"Folder Size";"Taille site"
"Database Size";"Taille Base de données"
"SITE SIZE";"TAILLE SITE"
"DB SIZE";"TAILLE BASE"
"View site description";"Edition description/société du site"