"Username";"Nom utilisateur"
"Password";"Mot de passe"
"login";"Authentification"
"The username and/or password is invalid.";"Le nom utilisateur et/ou le mot de passe sont invalides"
"This field is required.";"Ce champ est requis."
"Remember me";"Se souvenir de moi"
"connexion statistics";"statistiques des connexions"
"users-sessions";"utilisateurs-sessions"
"USERNAME";"Pseudo"
"START";"Début"
"END";"Fin"
"No date";"Aucune date"
"Start time";"Heure début"
"Last time";"Dernière connexion"
"Export";"Exporter"
"Sessions";"Connexions"
"File";"Fichier"
"Import group";"Importer un groupe"
"Max size for file %s.";"Taille maximum pour le fichier est %s."
"Group [%s] has been imported.";"Le groupe [%s] a été importé."
"Group ""#0#"" will be deleted. Confirm ?";"Le groupe ""#0#"" va être supprimé. Confirmez vous ?"
"Re affect group %s";"Réaffecter le groupe %s"
"Group %s has been reaffect to group %s (%s users impacted).";"Groupe %s a été affecté au groupe %s (%s utilisateurs impactés)."
"Group already exists";"Le groupe existe déjà"
"Groups added on user [%s].";"Les groupes ajoutés sur l'utilisateur [%]."
"No group to delete.";"Aucun groupe à supprimer"
"Unused groups [%s] have been deleted.";"Les groupes inutilisés [%s] ont été supprimés."
"Delete unused groups";"Supprimer les groupes inutilisés"
"Groups has been updated.";"Les groupes ont été mis à jour."
"Multiple update";"Traitement multiple pour les groupes"
"[0] no selected element|[1]one selected element|(1,Inf]%s selected elements";"[0] aucune élément sélectionné|[1]un élément sélectionné|(1,Inf]%s éléments sélectionnés"
"Parameters";"Paramètres"
"Process";"Traiter"
"Delete Permissions";"Suppression des permissions"
"Add Permissions";"Ajout des permissions"
"Separated by ,";"Séparé par des virgules (,)"
"date creation";"Créé le"
"date update";"Mis à jour"
"state";"Etat"
"Used";"Utilisé"
"Permissions has been imported in group [%s].";"Les permissions ont été importés dans le groupe [%s]."
"Import permission for group [%s]";"Importer les permissions pour le groupe [%s]"
"Permissions groups";"Groupe de permission utilisateur"